date,OT,1,2,3,4,5,6,7
2012/7/9,6.61,4,24,14.39,68.5,7.5,25,0.3
2012/7/10,6.43,4,24,14.57,69.4,7.5,25.1,0
2012/7/11,6.53,4,24,14.47,68.9,7.5,25.1,0.3
2012/7/12,5.92,4,24,15.08,71.8,7.5,25.1,0.4
2012/7/13,5.92,4,24,15.08,71.8,7.5,25.2,0.3
2012/7/14,6.11,4,24,14.89,70.9,7.5,25.1,0.2
2012/7/15,6.22,4,24,14.78,70.4,7.5,25.2,0.2
2012/7/16,6.11,4,24,14.89,70.9,7.5,25.2,0.3
2012/7/17,5.92,4,24,14.08,70.4,7.5,25,0.3
2012/7/18,6.53,4,24,14.47,68.9,7.5,25.2,0.3
2012/7/19,6.32,4,24,14.68,69.9,7.5,25.1,0.3
2012/7/20,6.32,4,24,14.68,69.9,7.5,25.2,0.2
2012/7/21,6.01,4,24,14.99,71.4,7.5,25.1,0.3
2012/7/22,4.68,4,24,16.32,77.7,7.5,25.2,0.3
2012/7/23,5.29,4,24,15.71,74.8,7.5,25.1,0.3
2012/7/24,5.4,4,24,15.6,74.3,7.5,25.2,0.3
2012/7/25,5.61,4,24,15.39,73.3,7.5,25.2,0.3
2012/7/26,6.11,4,24,14.89,70.9,7.5,25.2,0.3
2012/7/27,5.92,4,24,15.08,71.8,7.5,25.2,0.3
2012/7/28,6.32,4,24,14.68,69.9,7.5,25.2,0.3
2012/7/29,6.72,4,24,14.28,68,7.5,25.2,0.3
2012/7/30,6.43,4,24,14.57,69.4,7.5,25.2,0.3
2012/7/31,5.34,4,24,14.66,73.3,7.5,25.2,0.3
2012/8/1,5.71,4,24,15.29,72.8,7.5,25.2,0.3
2012/8/2,5.71,4,24,15.29,72.8,7.5,25.2,0.3
2012/8/3,6.11,4,24,14.89,70.9,7.5,25.2,0.3
2012/8/4,5.82,4,24,14.18,70.9,7.5,25.2,0.3
2012/8/5,5.5,4,24,15.5,73.8,7.5,25.2,0.3
2012/8/6,6.11,4,24,14.89,70.9,7.5,25.2,0.3
2012/8/7,5.82,4,24,15.18,72.3,7.5,25.2,0.3
2012/8/8,5.61,4,24,15.39,73.3,7.5,25.2,0.3
2012/8/9,6.11,4,24,14.89,70.9,7.5,25.2,0.3
2012/8/10,6.01,4,24,14.99,71.4,7.5,25.2,0.3
2012/8/11,6.01,4,24,14.99,71.4,7.5,25.2,0.3
2012/8/12,5.82,4,24,15.18,72.3,7.5,25.2,0.3
2012/8/13,6.11,4,24,14.89,70.9,7.5,25.2,0.3
2012/8/14,6.11,4,24,14.89,70.9,7.5,25.2,0.3
2012/8/15,6.43,4,24,14.57,69.4,7.5,25.2,0.3
2012/8/16,6.32,4,24,14.68,69.9,7.5,25.2,0.3
2012/8/17,4.76,5,23.83,15.24,76.2,8.5,19,0.3
2012/8/18,7.54,5,24,21.46,74,4.6,22,0.3
2012/8/19,8.41,5,24,20.59,71,6,20.4,0.3
2012/8/20,9.25,5,24,19.75,68.1,6,20,0.3
2012/8/21,8.82,5,24,19.18,68.5,5.8,19.8,0.3
2012/8/22,9.75,5,24,20.25,67.5,5.7,19.6,0.3
2012/8/23,9.63,5,24,19.37,66.8,5.8,19.6,0.3
2012/8/24,9.07,5,24,18.93,67.6,5.8,19.6,0.3
2012/8/25,9.44,5,24,18.56,66.3,5.8,19.6,0.3
2012/8/26,9.91,5,24,18.09,64.6,5.8,19.6,0.3
2012/8/27,9.72,5,24,16.28,62.6,5.8,19.6,0.3
2012/8/28,10.31,5,24,16.69,61.8,5.8,19.6,0.3
2012/8/29,10.07,5,24,16.93,62.7,5.8,19.6,0.3
2012/8/30,9.8,5,24,17.2,63.7,5.8,19.6,0.3
2012/8/31,9.53,5,24,17.47,64.7,5.8,19.6,0.3
2012/9/1,9.61,5,24,17.61,64.4,5.2,19.6,0.3
2012/9/2,10.27,5,24,18.73,64.6,5.2,19.6,0.3
2012/9/3,9.88,5,24,18.12,64.7,5.5,19.6,0.3
2012/9/4,9.42,5,23.58,17.58,65.1,5.6,20.8,0.3
2012/9/5,9.64,5,24,17.36,64.3,5.5,19.6,0.4
2012/9/6,10.18,5,24,16.82,62.3,5.5,19.5,0.2
2012/9/7,10.18,5,24,16.82,62.3,5.5,19.5,0.2
2012/9/8,10.45,5,24,16.55,61.3,5.5,19.6,0.3
2012/9/9,10.24,5,24,15.76,60.6,5.6,19.6,0.3
2012/9/10,10.42,5,24,16.58,61.4,5.5,19.4,0.3
2012/9/11,10.5,5,24,16.5,61.1,5.5,19.5,0.3
2012/9/12,10.12,5,24,16.88,62.5,5.5,19.8,0.3
2012/9/13,9.75,5,24,16.25,62.5,5.1,19.6,0.2
2012/9/14,10.61,5,24,16.39,60.7,5.5,19.8,0.2
2012/9/15,10.18,5,24,16.82,62.3,5.6,19.5,0.2
2012/9/16,10.39,5,24,16.61,61.5,5.5,19.6,0.3
2012/9/17,9.98,5,24,16.02,61.6,5.6,19.6,0.3
2012/9/18,10.34,5,24,16.66,61.7,5.6,19.6,0.2
2012/9/19,10.06,5,24,15.94,61.3,5.6,19.6,0.2
2012/9/20,9.18,5,24,17.82,66,5.4,19.6,0.2
2012/9/21,10.01,5,24,15.99,61.5,5.4,19.5,0.2
2012/9/22,7.2,5,24,18.8,72.3,5.6,19.6,0.3
2012/9/23,9.75,5,24,16.25,62.5,5.6,19.6,0.3
2012/9/24,8.71,5,24,17.29,66.5,5.6,19.6,0.3
2012/9/25,6.19,5,24,19.81,76.2,5.6,19.6,0.3
2012/9/26,7.31,5,24,18.69,71.9,5.6,19.6,0.3
2012/9/27,7.49,5,24,18.51,71.2,5.6,19.6,0.3
2012/9/28,6.99,5,24,19.01,73.1,5.6,19.6,0.3
2012/9/29,6.71,5,24,19.29,74.2,5.6,19.4,0.3
2012/9/30,5.3,5,24,20.7,79.6,5.4,19.4,0.3
2012/10/1,6.71,6,23.83,19.29,74.2,5.6,15.8,0.3
2012/10/2,6.19,6,24,19.81,76.2,2.5,16.2,0.3
